cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,receive_threshold_used,triangle_index,used_fallback,src_x,src_y,src_z,target_x,target_y,target_z,normal_x,normal_y,normal_z
2,-31,5,0.018700,0.000174,0.000003,accepted,accepted,0.145721,0.740381,0.150000,5128,False,15.165287,18.032089,0.962793,15.292624,18.032692,0.952926,-0.997000,-0.004714,0.077255
2,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.102793,0.338698,0.150000,5127,False,15.193759,18.032089,1.003871,15.270565,18.038046,1.039301,-0.905801,-0.070259,-0.417838
2,-29,6,0.022440,0.000174,0.000004,accepted,accepted,0.117867,0.346959,0.150000,5127,False,15.158170,18.032089,1.044948,15.248630,18.039106,1.086676,-0.905801,-0.070259,-0.417838
2,-28,3,0.011220,0.000174,0.000002,accepted,accepted,0.081361,0.351580,0.150000,5127,False,15.179523,18.032089,1.086025,15.236916,18.036541,1.112500,-0.905801,-0.070259,-0.417838
2,-27,4,0.014960,0.000174,0.000003,accepted,accepted,0.070645,0.358368,0.150000,5127,False,15.172405,18.032089,1.127102,15.220092,18.035788,1.149099,-0.905801,-0.070259,-0.417838
2,-26,2,0.007480,0.000174,0.000001,accepted,accepted,0.040586,0.363803,0.150000,5127,False,15.186641,18.032089,1.168180,15.207100,18.033676,1.177617,-0.905801,-0.070259,-0.417838
2,-25,2,0.007480,0.000174,0.000001,accepted,accepted,0.023423,0.370486,0.150000,5127,False,15.186641,18.032089,1.209257,15.191553,18.032471,1.211523,-0.905801,-0.070259,-0.417838
2,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.000188,0.376830,0.150000,5127,False,15.193759,18.032089,1.250334,15.177284,18.030811,1.242734,-0.905801,-0.070259,-0.417838
2,-23,1,0.003740,0.000174,0.000001,accepted,accepted,0.017352,0.383961,0.150000,5127,False,15.193759,18.032089,1.291411,15.161737,18.029606,1.276640,-0.905801,-0.070259,-0.417838
2,-22,2,0.007480,0.000174,0.000001,accepted,accepted,0.028068,0.391948,0.150000,5127,False,15.186641,18.032089,1.332489,15.144913,18.028852,1.313240,-0.905801,-0.070259,-0.417838
